sample_id,label,polishedHap1Fasta,polishedHap2Fasta,dipFai,ilmMerylDBTarGz,grch38_confidence,mosdepth_bed,rawHap1Fasta,rawHap2Fasta
mGorGor1_60x_verkko_model2,GIAB_conf_gt5x_MAPQ1,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mGorGor1_60x_verkko_model2/analysis/applyPolish_outputs/mGorGor1_60x_verkko_model2_hap1.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mGorGor1_60x_verkko_model2/analysis/applyPolish_outputs/mGorGor1_60x_verkko_model2_hap2.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mGorGor1_60x_verkko_model2/analysis/applyPolish_outputs/mGorGor1_60x_verkko_model2_dip.polished.fasta.fai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_polishing_QC/mGorGor1_verkko_model2/analysis/hprc_polishing_QC_outputs/mGorGor1_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mosdepth_60x/mGorGor1_mosdepth_quantized.quant.lt5x_cov.gt100bp.MAPQ1.bed,s3://genomeark/species/Gorilla_gorilla/mGorGor1/assembly_verkko_1.4.1r/mGorGor1.pat.20230906.fasta.gz,s3://genomeark/species/Gorilla_gorilla/mGorGor1/assembly_verkko_1.4.1r/mGorGor1.mat.20230906.fasta.gz
mPanPan1_60x_verkko_model2,GIAB_conf_gt5x_MAPQ1,,,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPanPan1_60x_verkko_model2/analysis/applyPolish_outputs/mPanPan1_60x_verkko_model2_dip.polished.fasta.fai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_polishing_QC/mPanPan1_verkko_model2/analysis/hprc_polishing_QC_outputs/mPanPan1_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,,s3://genomeark/species/Pan_paniscus/mPanPan1/assembly_verkko_1.4.1r/mPanPan1.pat.20230906.fasta.gz,s3://genomeark/species/Pan_paniscus/mPanPan1/assembly_verkko_1.4.1r/mPanPan1.mat.20230906.fasta.gz
mPanTro3_60x_verkko_model2,GIAB_conf_gt5x_MAPQ1,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPanTro3_60x_verkko_model2/analysis/applyPolish_outputs/mPanTro3_60x_verkko_model2_hap1.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPanTro3_60x_verkko_model2/analysis/applyPolish_outputs/mPanTro3_60x_verkko_model2_hap2.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPanTro3_60x_verkko_model2/analysis/applyPolish_outputs/mPanTro3_60x_verkko_model2_dip.polished.fasta.fai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_polishing_QC/mPanTro3_verkko_model2/analysis/hprc_polishing_QC_outputs/mPanTro3_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mosdepth_60x/mPanTro3_mosdepth_quantized.quant.lt5x_cov.gt100bp.MAPQ1.bed,s3://genomeark/species/Pan_troglodytes/mPanTro3/assembly_verkko_1.4.1r/mPanTro3.hap1.20230906.fasta.gz,s3://genomeark/species/Pan_troglodytes/mPanTro3/assembly_verkko_1.4.1r/mPanTro3.hap2.20230906.fasta.gz
mPonAbe1_60x_verkko_model2,GIAB_conf_gt5x_MAPQ1,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPonAbe1_60x_verkko_model2/analysis/applyPolish_outputs/mPonAbe1_60x_verkko_model2_hap1.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPonAbe1_60x_verkko_model2/analysis/applyPolish_outputs/mPonAbe1_60x_verkko_model2_hap2.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPonAbe1_60x_verkko_model2/analysis/applyPolish_outputs/mPonAbe1_60x_verkko_model2_dip.polished.fasta.fai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_polishing_QC/mPonAbe1_verkko_model2/analysis/hprc_polishing_QC_outputs/mPonAbe1_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mosdepth_60x/mPonAbe1_mosdepth_quantized.quant.lt5x_cov.gt100bp.MAPQ1.bed,s3://genomeark/species/Pongo_abelii/mPonAbe1/assembly_verkko_1.4.1r/mPonAbe1.hap1.20230906.fasta.gz,s3://genomeark/species/Pongo_abelii/mPonAbe1/assembly_verkko_1.4.1r/mPonAbe1.hap2.20230906.fasta.gz
mPonPyg2_60x_verkko_model2,GIAB_conf_gt5x_MAPQ1,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPonPyg2_60x_verkko_model2/analysis/applyPolish_outputs/mPonPyg2_60x_verkko_model2_hap1.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPonPyg2_60x_verkko_model2/analysis/applyPolish_outputs/mPonPyg2_60x_verkko_model2_hap2.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPonPyg2_60x_verkko_model2/analysis/applyPolish_outputs/mPonPyg2_60x_verkko_model2_dip.polished.fasta.fai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_polishing_QC/mPonPyg2_verkko_model2/analysis/hprc_polishing_QC_outputs/mPonPyg2_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mosdepth_60x/mPonPyg2_mosdepth_quantized.quant.lt5x_cov.gt100bp.MAPQ1.bed,s3://genomeark/species/Pongo_pygmaeus/mPonPyg2/assembly_verkko_1.4.1r/mPonPyg2.hap1.20230906.fasta.gz,s3://genomeark/species/Pongo_pygmaeus/mPonPyg2/assembly_verkko_1.4.1r/mPonPyg2.hap2.20230906.fasta.gz
mSymSyn1_60x_verkko_model2,GIAB_conf_gt5x_MAPQ1,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mSymSyn1_60x_verkko_model2/analysis/applyPolish_outputs/mSymSyn1_60x_verkko_model2_hap1.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mSymSyn1_60x_verkko_model2/analysis/applyPolish_outputs/mSymSyn1_60x_verkko_model2_hap2.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mSymSyn1_60x_verkko_model2/analysis/applyPolish_outputs/mSymSyn1_60x_verkko_model2_dip.polished.fasta.fai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_polishing_QC/mSymSyn1_verkko_model2/analysis/hprc_polishing_QC_outputs/mSymSyn1_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mosdepth_60x/mSymSyn1_mosdepth_quantized.quant.lt5x_cov.gt100bp.MAPQ1.bed,s3://genomeark/species/Symphalangus_syndactylus/mSymSyn1/assembly_verkko_1.4.1r/mSymSyn1.hap1.20230906.fasta.gz,s3://genomeark/species/Symphalangus_syndactylus/mSymSyn1/assembly_verkko_1.4.1r/mSymSyn1.hap2.20230906.fasta.gz
mGorGor1_60x_verkko_model2_hprc_filters,GIAB_conf_gt5x_MAPQ1,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mGorGor1_60x_verkko_model2_hprc_filters/analysis/applyPolish_outputs/mGorGor1_60x_verkko_model2_hprc_filters_hap1.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mGorGor1_60x_verkko_model2_hprc_filters/analysis/applyPolish_outputs/mGorGor1_60x_verkko_model2_hprc_filters_hap2.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mGorGor1_60x_verkko_model2_hprc_filters/analysis/applyPolish_outputs/mGorGor1_60x_verkko_model2_hprc_filters_dip.polished.fasta.fai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_polishing_QC/mGorGor1_verkko_model2/analysis/hprc_polishing_QC_outputs/mGorGor1_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mosdepth_60x/mGorGor1_mosdepth_quantized.quant.lt5x_cov.gt100bp.MAPQ1.bed,s3://genomeark/species/Gorilla_gorilla/mGorGor1/assembly_verkko_1.4.1r/mGorGor1.pat.20230906.fasta.gz,s3://genomeark/species/Gorilla_gorilla/mGorGor1/assembly_verkko_1.4.1r/mGorGor1.mat.20230906.fasta.gz
mPanPan1_60x_verkko_model2_hprc_filters,GIAB_conf_gt5x_MAPQ1,,,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPanPan1_60x_verkko_model2_hprc_filters/analysis/applyPolish_outputs/mPanPan1_60x_verkko_model2_hprc_filters_dip.polished.fasta.fai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_polishing_QC/mPanPan1_verkko_model2/analysis/hprc_polishing_QC_outputs/mPanPan1_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,,s3://genomeark/species/Pan_paniscus/mPanPan1/assembly_verkko_1.4.1r/mPanPan1.pat.20230906.fasta.gz,s3://genomeark/species/Pan_paniscus/mPanPan1/assembly_verkko_1.4.1r/mPanPan1.mat.20230906.fasta.gz
mPanTro3_60x_verkko_model2_hprc_filters,GIAB_conf_gt5x_MAPQ1,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPanTro3_60x_verkko_model2_hprc_filters/analysis/applyPolish_outputs/mPanTro3_60x_verkko_model2_hprc_filters_hap1.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPanTro3_60x_verkko_model2_hprc_filters/analysis/applyPolish_outputs/mPanTro3_60x_verkko_model2_hprc_filters_hap2.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPanTro3_60x_verkko_model2_hprc_filters/analysis/applyPolish_outputs/mPanTro3_60x_verkko_model2_hprc_filters_dip.polished.fasta.fai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_polishing_QC/mPanTro3_verkko_model2/analysis/hprc_polishing_QC_outputs/mPanTro3_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mosdepth_60x/mPanTro3_mosdepth_quantized.quant.lt5x_cov.gt100bp.MAPQ1.bed,s3://genomeark/species/Pan_troglodytes/mPanTro3/assembly_verkko_1.4.1r/mPanTro3.hap1.20230906.fasta.gz,s3://genomeark/species/Pan_troglodytes/mPanTro3/assembly_verkko_1.4.1r/mPanTro3.hap2.20230906.fasta.gz
mPonAbe1_60x_verkko_model2_hprc_filters,GIAB_conf_gt5x_MAPQ1,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPonAbe1_60x_verkko_model2_hprc_filters/analysis/applyPolish_outputs/mPonAbe1_60x_verkko_model2_hprc_filters_hap1.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPonAbe1_60x_verkko_model2_hprc_filters/analysis/applyPolish_outputs/mPonAbe1_60x_verkko_model2_hprc_filters_hap2.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPonAbe1_60x_verkko_model2_hprc_filters/analysis/applyPolish_outputs/mPonAbe1_60x_verkko_model2_hprc_filters_dip.polished.fasta.fai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_polishing_QC/mPonAbe1_verkko_model2/analysis/hprc_polishing_QC_outputs/mPonAbe1_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mosdepth_60x/mPonAbe1_mosdepth_quantized.quant.lt5x_cov.gt100bp.MAPQ1.bed,s3://genomeark/species/Pongo_abelii/mPonAbe1/assembly_verkko_1.4.1r/mPonAbe1.hap1.20230906.fasta.gz,s3://genomeark/species/Pongo_abelii/mPonAbe1/assembly_verkko_1.4.1r/mPonAbe1.hap2.20230906.fasta.gz
mPonPyg2_60x_verkko_model2_hprc_filters,GIAB_conf_gt5x_MAPQ1,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPonPyg2_60x_verkko_model2_hprc_filters/analysis/applyPolish_outputs/mPonPyg2_60x_verkko_model2_hprc_filters_hap1.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPonPyg2_60x_verkko_model2_hprc_filters/analysis/applyPolish_outputs/mPonPyg2_60x_verkko_model2_hprc_filters_hap2.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mPonPyg2_60x_verkko_model2_hprc_filters/analysis/applyPolish_outputs/mPonPyg2_60x_verkko_model2_hprc_filters_dip.polished.fasta.fai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_polishing_QC/mPonPyg2_verkko_model2/analysis/hprc_polishing_QC_outputs/mPonPyg2_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mosdepth_60x/mPonPyg2_mosdepth_quantized.quant.lt5x_cov.gt100bp.MAPQ1.bed,s3://genomeark/species/Pongo_pygmaeus/mPonPyg2/assembly_verkko_1.4.1r/mPonPyg2.hap1.20230906.fasta.gz,s3://genomeark/species/Pongo_pygmaeus/mPonPyg2/assembly_verkko_1.4.1r/mPonPyg2.hap2.20230906.fasta.gz
mSymSyn1_60x_verkko_model2_hprc_filters,GIAB_conf_gt5x_MAPQ1,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mSymSyn1_60x_verkko_model2_hprc_filters/analysis/applyPolish_outputs/mSymSyn1_60x_verkko_model2_hprc_filters_hap1.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mSymSyn1_60x_verkko_model2_hprc_filters/analysis/applyPolish_outputs/mSymSyn1_60x_verkko_model2_hprc_filters_hap2.polished.fasta,/private/groups/patenlab/mira/t2t_primates_polishing/assemblies/applyPolish/mSymSyn1_60x_verkko_model2_hprc_filters/analysis/applyPolish_outputs/mSymSyn1_60x_verkko_model2_hprc_filters_dip.polished.fasta.fai,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_polishing_QC/mSymSyn1_verkko_model2/analysis/hprc_polishing_QC_outputs/mSymSyn1_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,/private/groups/patenlab/mira/t2t_primates_polishing/hprc_DeepPolisher/mosdepth_60x/mSymSyn1_mosdepth_quantized.quant.lt5x_cov.gt100bp.MAPQ1.bed,s3://genomeark/species/Symphalangus_syndactylus/mSymSyn1/assembly_verkko_1.4.1r/mSymSyn1.hap1.20230906.fasta.gz,s3://genomeark/species/Symphalangus_syndactylus/mSymSyn1/assembly_verkko_1.4.1r/mSymSyn1.hap2.20230906.fasta.gz
HG00738_verkko_model2_GQ34,GIAB_conf_gt5x_MAPQ1,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko_model2_GQ34_polished/HG00738_verkko_model2.GQ34_DP_polished.Hap1.fasta,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko_model2_GQ34_polished/HG00738_verkko_model2.GQ34_DP_polished.Hap2.fasta,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko_model2_GQ34_polished/HG00738_verkko_model2.GQ34_DP_polished.dip.fasta.fai,/private/groups/patenlab/mira/hprc_polishing/hprc_int_asm/HPRC_verkko_model2/hprc_polishing_QC/HG00738_verkko_model2/analysis/hprc_polishing_QC_outputs/HG00738_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_int_asm/HPRC_verkko_model2/mosdepth/HG00738_mosdepth_quantized.quant.lt5x_cov.gt100bp.MAPQ1.bed,/private/groups/hprc/verkko/batch1/HG00738/verkko/hic_asm/HG00738_verkko_trio+hic.hap1.fasta.gz,/private/groups/hprc/verkko/batch1/HG00738/verkko/hic_asm/HG00738_verkko_trio+hic.hap2.fasta.gz
HG01099_verkko_model2_GQ34,GIAB_conf_gt5x_MAPQ1,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko_model2_GQ34_polished/HG01099_verkko_model2.GQ34_DP_polished.Hap1.fasta,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko_model2_GQ34_polished/HG01099_verkko_model2.GQ34_DP_polished.Hap2.fasta,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko_model2_GQ34_polished/HG01099_verkko_model2.GQ34_DP_polished.dip.fasta.fai,/private/groups/patenlab/mira/hprc_polishing/hprc_int_asm/HPRC_verkko_model2/hprc_polishing_QC/HG01099_verkko_model2/analysis/hprc_polishing_QC_outputs/HG01099_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_int_asm/HPRC_verkko_model2/mosdepth/HG01099_mosdepth_quantized.quant.lt5x_cov.gt100bp.MAPQ1.bed,/private/groups/hprc/verkko/batch1/HG01099/verkko/hic_asm/HG01099_verkko_trio+hic.hap1.fasta.gz,/private/groups/hprc/verkko/batch1/HG01099/verkko/hic_asm/HG01099_verkko_trio+hic.hap2.fasta.gz
HG01255_verkko_model2_GQ34,GIAB_conf_gt5x_MAPQ1,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko_model2_GQ34_polished/HG01255_verkko_model2.GQ34_DP_polished.Hap1.fasta,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko_model2_GQ34_polished/HG01255_verkko_model2.GQ34_DP_polished.Hap2.fasta,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko_model2_GQ34_polished/HG01255_verkko_model2.GQ34_DP_polished.dip.fasta.fai,/private/groups/patenlab/mira/hprc_polishing/hprc_int_asm/HPRC_verkko_model2/hprc_polishing_QC/HG01255_verkko_model2/analysis/hprc_polishing_QC_outputs/HG01255_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_int_asm/HPRC_verkko_model2/mosdepth/HG01255_mosdepth_quantized.quant.lt5x_cov.gt100bp.MAPQ1.bed,/private/groups/hprc/verkko/batch1/HG01255/verkko/hic_asm/HG01255_verkko_trio+hic.hap1.fasta.gz,/private/groups/hprc/verkko/batch1/HG01255/verkko/hic_asm/HG01255_verkko_trio+hic.hap2.fasta.gz
HG01884_verkko_model2_GQ34,GIAB_conf_gt5x_MAPQ1,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko_model2_GQ34_polished/HG01884_verkko_model2.GQ34_DP_polished.Hap1.fasta,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko_model2_GQ34_polished/HG01884_verkko_model2.GQ34_DP_polished.Hap2.fasta,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko_model2_GQ34_polished/HG01884_verkko_model2.GQ34_DP_polished.dip.fasta.fai,/private/groups/patenlab/mira/hprc_polishing/hprc_int_asm/HPRC_verkko_model2/hprc_polishing_QC/HG01884_verkko_model2/analysis/hprc_polishing_QC_outputs/HG01884_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_int_asm/HPRC_verkko_model2/mosdepth/HG01884_mosdepth_quantized.quant.lt5x_cov.gt100bp.MAPQ1.bed,/private/groups/hprc/verkko/batch1/HG01884/verkko/hic_asm/HG01884_verkko_trio+hic.hap1.fasta.gz,/private/groups/hprc/verkko/batch1/HG01884/verkko/hic_asm/HG01884_verkko_trio+hic.hap2.fasta.gz
HG01981_verkko_model2_GQ34,GIAB_conf_gt5x_MAPQ1,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko_model2_GQ34_polished/HG01981_verkko_model2.GQ34_DP_polished.Hap1.fasta,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko_model2_GQ34_polished/HG01981_verkko_model2.GQ34_DP_polished.Hap2.fasta,/private/groups/patenlab/mira/hprc_polishing/data/HPRC_int_asm/dip_fastas/verkko_model2_GQ34_polished/HG01981_verkko_model2.GQ34_DP_polished.dip.fasta.fai,/private/groups/patenlab/mira/hprc_polishing/hprc_int_asm/HPRC_verkko_model2/hprc_polishing_QC/HG01981_verkko_model2/analysis/hprc_polishing_QC_outputs/HG01981_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_int_asm/HPRC_verkko_model2/mosdepth/HG01981_mosdepth_quantized.quant.lt5x_cov.gt100bp.MAPQ1.bed,/private/groups/hprc/verkko/batch1/HG01981/verkko/hic_asm/HG01981_verkko_trio+hic.hap1.fasta.gz,/private/groups/hprc/verkko/batch1/HG01981/verkko/hic_asm/HG01981_verkko_trio+hic.hap2.fasta.gz
HG01981_DV,GIAB_conf_gt5x_MAPQ1,/private/groups/patenlab/mira/hprc_polishing/verkko_model_debug/deepvariant/HG01981/HG01981_verkko_trio+hic.hap1.DV_polished.fasta,/private/groups/patenlab/mira/hprc_polishing/verkko_model_debug/deepvariant/HG01981/HG01981_verkko_trio+hic.hap2.DV_polished.fasta,/private/groups/patenlab/mira/hprc_polishing/verkko_model_debug/deepvariant/HG01981/HG01981_verkko_trio+hic.dip.DV_polished.fasta.fai,/private/groups/patenlab/mira/hprc_polishing/hprc_int_asm/HPRC_verkko_model2/hprc_polishing_QC/HG01981_verkko_model2/analysis/hprc_polishing_QC_outputs/HG01981_verkko_model2.meryl.tar,/private/groups/hprc/ref_files/giab/HG002_intersect_HG005_GIAB_v4.2.1.bed,/private/groups/patenlab/mira/hprc_polishing/hprc_int_asm/HPRC_verkko_model2/mosdepth/HG01981_mosdepth_quantized.quant.lt5x_cov.gt100bp.MAPQ1.bed,/private/groups/hprc/verkko/batch1/HG01981/verkko/hic_asm/HG01981_verkko_trio+hic.hap1.fasta.gz,/private/groups/hprc/verkko/batch1/HG01981/verkko/hic_asm/HG01981_verkko_trio+hic.hap2.fasta.gz
