sample_id,DB1,DB1_name,DB2,DB2_name,kmerSize
PAN028_hifi_ilm_k31,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN028_ilm_k31/analysis/meryl_simple_outputs/PAN028_ilm_k31.meryl.tar,ilm,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN028_hifi_k31/analysis/meryl_simple_outputs/PAN028_hifi_k31.meryl.tar,hifi,31
PAN010_hifi_ilm_k31,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN010_ilm_k31/analysis/meryl_simple_outputs/PAN010_ilm_k31.meryl.tar,ilm,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN010_hifi_k31/analysis/meryl_simple_outputs/PAN010_hifi_k31.meryl.tar,hifi,31
PAN011_hifi_ilm_k31,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/hprc_polishing_QC/PAN011_HiFi_element_final/analysis/hprc_polishing_QC_outputs/PAN011_HiFi_element_final.meryl.tar,ilm,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN011_hifi_k31/analysis/meryl_simple_outputs/PAN011_hifi_k31.meryl.tar,hifi,31
PAN027_hifi_ilm_k31,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN027_ilm_k31/analysis/meryl_simple_outputs/PAN027_ilm_k31.meryl.tar,ilm,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN027_hifi_k31/analysis/meryl_simple_outputs/PAN027_hifi_k31.meryl.tar,hifi,31
PAN028_hifi_ilm_k21,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN028_ilm_k21/analysis/meryl_simple_outputs/PAN028_ilm_k21.meryl.tar,ilm,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN028_hifi_k21/analysis/meryl_simple_outputs/PAN028_hifi_k21.meryl.tar,hifi,21
PAN010_hifi_ilm_k21,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN010_ilm_k21/analysis/meryl_simple_outputs/PAN010_ilm_k21.meryl.tar,ilm,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN010_hifi_k21/analysis/meryl_simple_outputs/PAN010_hifi_k21.meryl.tar,hifi,21
PAN011_hifi_ilm_k21,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN011_ilm_k21/analysis/meryl_simple_outputs/PAN011_ilm_k21.meryl.tar,ilm,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN011_hifi_k21/analysis/meryl_simple_outputs/PAN011_hifi_k21.meryl.tar,hifi,21
PAN027_hifi_ilm_k21,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN027_ilm_k21/analysis/meryl_simple_outputs/PAN027_ilm_k21.meryl.tar,ilm,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN027_hifi_k21/analysis/meryl_simple_outputs/PAN027_hifi_k21.meryl.tar,hifi,21
PAN028_hifi_ele_k31,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN028_ele_k31/analysis/meryl_simple_outputs/PAN028_ele_k31.meryl.tar,ele,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN028_hifi_k31/analysis/meryl_simple_outputs/PAN028_hifi_k31.meryl.tar,hifi,31
PAN010_hifi_ele_k31,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN010_ele_k31/analysis/meryl_simple_outputs/PAN010_ele_k31.meryl.tar,ele,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN010_hifi_k31/analysis/meryl_simple_outputs/PAN010_hifi_k31.meryl.tar,hifi,31
PAN011_hifi_ele_k31,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN011_ele_k31/analysis/meryl_simple_outputs/PAN011_ele_k31.meryl.tar,ele,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN011_hifi_k31/analysis/meryl_simple_outputs/PAN011_hifi_k31.meryl.tar,hifi,31
PAN027_hifi_ele_k31,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN027_ele_k31/analysis/meryl_simple_outputs/PAN027_ele_k31.meryl.tar,ele,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN027_hifi_k31/analysis/meryl_simple_outputs/PAN027_hifi_k31.meryl.tar,hifi,31
PAN028_hifi_ele_k21,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN028_ele_k21/analysis/meryl_simple_outputs/PAN028_ele_k21.meryl.tar,ele,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN028_hifi_k21/analysis/meryl_simple_outputs/PAN028_hifi_k21.meryl.tar,hifi,21
PAN010_hifi_ele_k21,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN010_ele_k21/analysis/meryl_simple_outputs/PAN010_ele_k21.meryl.tar,ele,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN010_hifi_k21/analysis/meryl_simple_outputs/PAN010_hifi_k21.meryl.tar,hifi,21
PAN011_hifi_ele_k21,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN011_ele_k21/analysis/meryl_simple_outputs/PAN011_ele_k21.meryl.tar,ele,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN011_hifi_k21/analysis/meryl_simple_outputs/PAN011_hifi_k21.meryl.tar,hifi,21
PAN027_hifi_ele_k21,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN027_ele_k21/analysis/meryl_simple_outputs/PAN027_ele_k21.meryl.tar,ele,/private/groups/patenlab/mira/phoenix_batch_executions/workflows/meryl_simple/PAN027_hifi_k21/analysis/meryl_simple_outputs/PAN027_hifi_k21.meryl.tar,hifi,21
